target,feature,spearman,single_feature_auc,positive_mean,negative_mean,relative_mean_difference,n
delay_next_30d,days_in_current_stage,0.01682752923709563,0.5261687356486797,96.4375,92.23418621179815,0.04557218923740215,11672
delay_next_30d,days_since_project_start,-0.007425986657316888,0.488472173814991,157.93269230769232,167.35341151385927,-0.05629236429032568,11672
delay_next_30d,event_count_so_far,-0.007425986657316888,0.488472173814991,6.264423076923077,6.578447050461976,-0.04773527416578453,11672
delay_next_30d,land_required_ha,0.009883255176431203,0.5153888011863759,31.172347115384618,29.095534212864248,0.07137909506408484,11672
delay_next_30d,land_to_acquire_ha,0.00939535736086192,0.5146294839333552,24.629615865384615,23.224648329779672,0.06049467426395564,11672
delay_next_30d,total_parcels,0.007230285783546311,0.5112582050256957,393.59134615384613,363.6566275764037,0.08231588896631119,11672
delay_next_30d,affected_families,0.008510133833277516,0.5132509456494998,186.30048076923077,175.0201670220327,0.06445150829834392,11672
delay_next_30d,vulnerable_families,0.009198653954831418,0.5143189657823519,32.82211538461539,30.104122245913292,0.09028641049552838,11672
delay_next_30d,pending_approvals_count,0.0674350021129935,0.6035259827237439,4.266826923076923,2.8694029850746268,0.4870086025807744,11672
delay_next_30d,file_pending_days,0.06132783052464313,0.5954851856787491,58.36057692307692,44.972636815920396,0.2976907972275526,11672
delay_next_30d,docs_complete_pct,-0.06927647296588806,0.3921822891039309,79.40148798076923,85.22093176972281,-0.06828655434885895,11672
delay_next_30d,court_cases_count,0.052607118566341746,0.5757741170521021,1.4567307692307692,0.9848081023454158,0.47920266472363887,11672
delay_next_30d,case_age_months,0.0555960464676456,0.5824660608359302,8.646487980769232,5.805679726368159,0.48931535811366367,11672
delay_next_30d,title_disputes_parcels,0.013729394388113696,0.5203920088773167,1.7043269230769231,1.445184790334044,0.17931418492370121,11672
delay_next_30d,grievances_30d,0.06058760751472567,0.5934189799628232,5.233173076923077,3.5773809523809526,0.462850377575835,11672
delay_next_30d,compensation_awarded_cr,0.0121536445062864,0.518924415525395,7.2247836538461545,6.535020007107321,0.10554881943569629,11672
delay_next_30d,compensation_disbursed_cr,-0.022176257934136464,0.4663041890478924,0.4469079326923077,0.6849395433546553,-0.3475220739870425,11672
delay_next_30d,disbursal_pct,-0.0475960186165573,0.4276800236455087,5.854180288461539,10.465074538024163,-0.4405983189903944,11672
delay_next_30d,rnr_progress_pct,-0.027078182771169263,0.45838458804876714,9.335182692307692,12.179194029850747,-0.2335139197694437,11672
delay_next_30d,rnr_consent_pct,-0.04806057337992645,0.42516501882756547,68.23448076923077,72.75757205046199,-0.06216660553343048,11672
delay_next_30d,grievance_redressal_days,0.018601101086284287,0.5289637193496801,20.55994471153846,18.71005881307747,0.09887119634108282,11672
delay_next_30d,forest_involved,0.009235827331725953,0.5085125539883003,0.15144230769230768,0.13441719971570718,0.12665870150999028,11672
delay_next_30d,proximity_km_to_urban,0.005210187104750675,0.5081127672079164,40.245480769230774,39.62727931769723,0.015600401091817071,11672
delay_next_60d,days_in_current_stage,-0.008621500133642242,0.4903393215122055,90.74158653846153,92.5100553505535,-0.019116503664283954,11672
delay_next_60d,days_since_project_start,-0.05058324226754617,0.4434200809856656,142.93269230769232,168.86623616236162,-0.153574476722124,11672
delay_next_60d,event_count_so_far,-0.05058324226754617,0.4434200809856656,5.764423076923077,6.628874538745388,-0.13040697282316058,11672
delay_next_60d,land_required_ha,0.014242702652314036,0.5159793677263695,31.172347115384618,29.015833643911435,0.07432195462444335,11672
delay_next_60d,land_to_acquire_ha,0.01353959589367866,0.5151909106230486,24.629615865384615,23.170730756457566,0.06296241254801449,11672
delay_next_60d,total_parcels,0.010419523595007356,0.5116902542222538,393.59134615384613,362.5078413284133,0.08574574473072652,11672
delay_next_60d,affected_families,0.012263905318139978,0.5137594690249787,186.30048076923077,174.58726937269373,0.0670908677283491,11672
delay_next_60d,vulnerable_families,0.013256127737410587,0.5148684759083167,32.82211538461539,29.99981549815498,0.09407724146283436,11672
