target,model,split,roc_auc,pr_auc,brier_score,precision,recall,f1,precision_at_10pct,recall_at_10pct,positive_rate,n,positives,scale_pos_weight
delay_next_30d,dummy,validation,0.5,0.03192106790481718,0.030914316591647072,0.0,0.0,0.0,0.017341040462427744,0.05454545454545454,0.03192106790481718,1723,55,
delay_next_30d,dummy,test,0.5,0.04041570438799076,0.03880728842431475,0.0,0.0,0.0,0.040229885057471264,0.1,0.04041570438799076,1732,70,
delay_next_30d,logistic_regression,validation,0.7517876607804665,0.07494752524413238,0.21075639194534646,0.06521739130434782,0.7636363636363637,0.12017167381974249,0.07514450867052024,0.23636363636363636,0.03192106790481718,1723,55,
delay_next_30d,logistic_regression,test,0.700146123431322,0.07476637677707279,0.22614063826833208,0.07132459970887918,0.7,0.12945838837516513,0.07471264367816093,0.18571428571428572,0.04041570438799076,1732,70,
delay_next_30d,xgboost,validation,0.7589928057553956,0.07845758298456268,0.0863641410505065,0.07881773399014778,0.2909090909090909,0.12403100775193798,0.08092485549132948,0.2545454545454545,0.03192106790481718,1723,55,27.237113402061855
delay_next_30d,xgboost,test,0.7501203369434416,0.10558965606542507,0.087652065973038,0.115,0.32857142857142857,0.17037037037037037,0.12643678160919541,0.3142857142857143,0.04041570438799076,1732,70,27.237113402061855
delay_next_60d,dummy,validation,0.5,0.06384213580963435,0.0598151305569539,0.0,0.0,0.0,0.03468208092485549,0.05454545454545454,0.06384213580963435,1723,110,
delay_next_60d,dummy,test,0.5,0.08083140877598152,0.07439774492127744,0.0,0.0,0.0,0.08045977011494253,0.1,0.08083140877598152,1732,140,
delay_next_60d,logistic_regression,validation,0.7387533111649665,0.14080836064594549,0.21720497811065112,0.1209563994374121,0.7818181818181819,0.2095006090133983,0.14450867052023122,0.22727272727272727,0.06384213580963435,1723,110,
delay_next_60d,logistic_regression,test,0.7010902727925341,0.1435948888460006,0.22858333764268893,0.1334231805929919,0.7071428571428572,0.22448979591836735,0.16091954022988506,0.2,0.08083140877598152,1732,140,
delay_next_60d,xgboost,validation,0.7915121456348982,0.2184522283183487,0.11588038396226806,0.16216216216216217,0.43636363636363634,0.23645320197044334,0.2138728323699422,0.33636363636363636,0.06384213580963435,1723,110,13.118556701030927
delay_next_60d,xgboost,test,0.7645863244795406,0.19377475786226195,0.12255325586480599,0.2,0.4642857142857143,0.27956989247311825,0.1896551724137931,0.2357142857142857,0.08083140877598152,1732,140,13.118556701030927
delay_next_90d,dummy,validation,0.5,0.09576320371445154,0.08670244189592051,0.0,0.0,0.0,0.05202312138728324,0.05454545454545454,0.09576320371445154,1723,165,
delay_next_90d,dummy,test,0.5,0.12124711316397228,0.10677136949088813,0.0,0.0,0.0,0.1206896551724138,0.1,0.12124711316397228,1732,210,
delay_next_90d,logistic_regression,validation,0.739506749134477,0.2065689704229941,0.21723128468200859,0.16263440860215053,0.7333333333333333,0.2662266226622662,0.2658959537572254,0.2787878787878788,0.09576320371445154,1723,165,
delay_next_90d,logistic_regression,test,0.6940210249671485,0.21787349252084148,0.22900822071388308,0.19090909090909092,0.7,0.3,0.22988505747126436,0.19047619047619047,0.12124711316397228,1732,210,
delay_next_90d,xgboost,validation,0.7782082701209787,0.2883667932976957,0.1325061928191445,0.20958083832335328,0.42424242424242425,0.280561122244489,0.27167630057803466,0.28484848484848485,0.09576320371445154,1723,165,8.412371134020619
delay_next_90d,xgboost,test,0.7519961203929667,0.2826350185041485,0.1391858726924738,0.2784090909090909,0.4666666666666667,0.3487544483985765,0.3160919540229885,0.2619047619047619,0.12124711316397228,1732,210,8.412371134020619
