target,feature,importance
delay_next_90d,current_stage_3D,0.24108434
delay_next_90d,current_stage_3A,0.052166328
delay_next_90d,days_in_current_stage,0.03713386
delay_next_90d,days_since_project_start,0.030286323
delay_next_90d,court_cases_count,0.0288318
delay_next_90d,grievances_30d,0.028444042
delay_next_90d,docs_remaining_pct,0.027304998
delay_next_90d,disbursal_pct,0.025592044
delay_next_90d,docs_complete_pct,0.020756494
delay_next_90d,case_age_months,0.020754395
delay_next_90d,grievance_redressal_days,0.018719526
delay_next_90d,urban_rural_Urban,0.017544651
delay_next_90d,approval_dept_Revenue,0.017338073
delay_next_90d,land_to_acquire_ha,0.01733287
delay_next_90d,terrain_type_Hilly,0.017164478
delay_next_90d,pending_approvals_count,0.016672494
delay_next_90d,rnr_consent_pct,0.016366996
delay_next_90d,total_parcels,0.01609194
delay_next_90d,land_acquisition_ratio,0.015982697
delay_next_90d,land_required_ha,0.01587343
delay_next_90d,current_stage_3a,0.015641678
delay_next_90d,proximity_km_to_urban,0.015591069
delay_next_90d,file_pending_days,0.015353455
delay_next_90d,rnr_progress_pct,0.0152651
delay_next_90d,affected_families,0.01515063
delay_next_90d,rnr_remaining_pct,0.014855375
delay_next_90d,vulnerable_families,0.014714038
delay_next_90d,title_disputes_parcels,0.014121148
delay_next_90d,terrain_type_Plain,0.013972718
delay_next_90d,vulnerable_family_share,0.013954427
delay_next_90d,affected_family_per_parcel,0.013705316
delay_next_90d,approval_dept_District Administration,0.01365494
delay_next_90d,terrain_type_Rolling,0.0130503755
delay_next_90d,urban_rural_Rural,0.012827587
delay_next_90d,urban_rural_Semi-Urban,0.012478579
delay_next_90d,terrain_type_Riverine,0.011978322
delay_next_90d,approval_dept_Environment,0.011436939
delay_next_90d,compensation_awarded_cr,0.011332715
delay_next_90d,compensation_pending_cr,0.011277215
delay_next_90d,compensation_disbursed_cr,0.010902977
delay_next_90d,approval_dept_Multiple Departments,0.01076962
delay_next_90d,forest_involved,0.010087186
delay_next_90d,terrain_type_Coastal,0.009293681
delay_next_90d,approval_dept_Forest,0.00920506
delay_next_90d,approval_dept_PWD,0.007938072
