target,feature,importance
delay_next_60d,current_stage_3D,0.23522899
delay_next_60d,days_in_current_stage,0.04928101
delay_next_60d,court_cases_count,0.04204835
delay_next_60d,days_since_project_start,0.036700085
delay_next_60d,docs_remaining_pct,0.028024497
delay_next_60d,grievances_30d,0.0262188
delay_next_60d,disbursal_pct,0.023989292
delay_next_60d,docs_complete_pct,0.022491701
delay_next_60d,grievance_redressal_days,0.020617343
delay_next_60d,rnr_remaining_pct,0.019252531
delay_next_60d,approval_dept_Environment,0.018694757
delay_next_60d,vulnerable_family_share,0.017998364
delay_next_60d,land_acquisition_ratio,0.017938396
delay_next_60d,pending_approvals_count,0.017696716
delay_next_60d,rnr_progress_pct,0.01723783
delay_next_60d,case_age_months,0.016956521
delay_next_60d,proximity_km_to_urban,0.016925907
delay_next_60d,land_to_acquire_ha,0.016821152
delay_next_60d,urban_rural_Rural,0.01674007
delay_next_60d,total_parcels,0.016598783
delay_next_60d,file_pending_days,0.016120438
delay_next_60d,land_required_ha,0.015380519
delay_next_60d,affected_family_per_parcel,0.015344759
delay_next_60d,vulnerable_families,0.015105823
delay_next_60d,rnr_consent_pct,0.014976624
delay_next_60d,current_stage_3a,0.014840681
delay_next_60d,terrain_type_Riverine,0.014661459
delay_next_60d,terrain_type_Coastal,0.01457153
delay_next_60d,terrain_type_Plain,0.014515264
delay_next_60d,current_stage_3A,0.014298129
delay_next_60d,affected_families,0.014136814
delay_next_60d,title_disputes_parcels,0.014081089
delay_next_60d,compensation_disbursed_cr,0.014054731
delay_next_60d,compensation_pending_cr,0.012505369
delay_next_60d,terrain_type_Rolling,0.012461009
delay_next_60d,urban_rural_Urban,0.0117616765
delay_next_60d,terrain_type_Hilly,0.01149296
delay_next_60d,urban_rural_Semi-Urban,0.011380063
delay_next_60d,compensation_awarded_cr,0.011280307
delay_next_60d,forest_involved,0.010635942
delay_next_60d,approval_dept_PWD,0.0105536375
delay_next_60d,approval_dept_Multiple Departments,0.009929532
delay_next_60d,approval_dept_Forest,0.009606598
delay_next_60d,approval_dept_District Administration,0.009499377
delay_next_60d,approval_dept_Revenue,0.0093446495
