project_id,notification_id,notification_number,tentative_publish_date,serial_number,district,sub_district,village,survey_number,survey_number_raw,area_hectares,area_raw,land_type,land_nature,land_category,description_raw,party_count,owner_count,affected_party_count,total_party_area_hectares
54635,34193,S.O. 5048 (E),28/09/2018,1,NAYAGARH,Nayagarh,Harekrushnapur,228,228 २२८,0.004,0.004 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.004
54635,34193,S.O. 5048 (E),28/09/2018,2,NAYAGARH,Nayagarh,Harekrushnapur,214,214 २१४,0.01,0.01 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.01
54635,34193,S.O. 5048 (E),28/09/2018,3,NAYAGARH,Nayagarh,Harekrushnapur,210,210 २१०,0.016,0.016 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,2,0,0.016
54635,34193,S.O. 5048 (E),28/09/2018,4,NAYAGARH,Nayagarh,Harekrushnapur,209,209 २०९,0.02,0.02 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.02
54635,34193,S.O. 5048 (E),28/09/2018,5,NAYAGARH,Nayagarh,Harekrushnapur,213/629,213/629 २१३/६२९,0.032,0.032 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.032
54635,34193,S.O. 5048 (E),28/09/2018,6,NAYAGARH,Nayagarh,Harekrushnapur,200,200 २००,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.002
54635,34193,S.O. 5048 (E),28/09/2018,7,NAYAGARH,Nayagarh,Harekrushnapur,199/746,199/746 १९९/७४६,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
54635,34193,S.O. 5048 (E),28/09/2018,8,NAYAGARH,Nayagarh,Harekrushnapur,337,337 ३३७,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
54635,34193,S.O. 5048 (E),28/09/2018,9,NAYAGARH,Nayagarh,Harekrushnapur,338,338 ३३८,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
54635,34193,S.O. 5048 (E),28/09/2018,10,NAYAGARH,Nayagarh,Harekrushnapur,340/750,340/750 ३४०/७५०,0.004,0.004 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.004
54635,34193,S.O. 5048 (E),28/09/2018,11,NAYAGARH,Nayagarh,Harekrushnapur,341,341 ३४१,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.002
54635,34193,S.O. 5048 (E),28/09/2018,12,NAYAGARH,Nayagarh,Harekrushnapur,342,342 ३४२,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,2,0,0.002
54635,34193,S.O. 5048 (E),28/09/2018,13,NAYAGARH,Nayagarh,Harekrushnapur,343,343 ३४३,0.002,0.002 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,2,0,0.004
54635,34193,S.O. 5048 (E),28/09/2018,14,NAYAGARH,Nayagarh,Badapandusar,1211,1211 १२११,0.014,0.014 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.014
54635,34193,S.O. 5048 (E),28/09/2018,15,NAYAGARH,Nayagarh,Badapandusar,1212,1212 १२१२,0.01,0.01 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",2,1,1,0.01
54635,34193,S.O. 5048 (E),28/09/2018,16,NAYAGARH,Nayagarh,Badapandusar,1213,1213 १२१३,0.01,0.01 Hectares,Wet,Private,Rural,"Land Type: ""Wet"" Land Nature: ""Private"" Land Category: ""Rural""",1,1,0,0.01
