target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_60d,land_acquisition_ratio,1,181,0.6061559850927839,0.615552089426139,0.6290801099170888,-0.25108180512051553,-0.2338670045137405
delay_next_60d,land_acquisition_ratio,2,173,0.6301889961193117,0.639653110047847,0.6775257353503527,-0.1827237472446861,-0.1401817351579666
delay_next_60d,land_acquisition_ratio,3,172,0.6818028631295149,0.6948158613287276,0.7083518816559942,-0.05127432668611385,-0.0452400334179401
delay_next_60d,land_acquisition_ratio,4,173,0.7132172046034008,0.7400956128654591,0.7585374555004819,-0.11949390024074613,-0.1243170350790023
delay_next_60d,land_acquisition_ratio,5,173,0.761610739457919,0.7832180890723722,0.8013627987046966,0.08640855153338883,0.0993216261267662
delay_next_60d,land_acquisition_ratio,6,172,0.8043951670848855,0.8297684966455637,0.8514048185393654,0.08384851161332162,0.08778640255331985
delay_next_60d,land_acquisition_ratio,7,174,0.851509319359685,0.862062070068789,0.8744638511680021,0.10555898262744487,0.1090663745999336
delay_next_60d,land_acquisition_ratio,8,181,0.8774669032346117,0.8949765834076716,0.9157469191808982,0.03039621379360226,0.0249459780752658
delay_next_60d,land_acquisition_ratio,9,166,0.9188535273522868,0.9429127121737544,0.966268481802652,-0.25700623593265076,-0.2594533860683441
delay_next_60d,land_acquisition_ratio,10,167,0.966866198326532,0.9872177877359224,0.9981435848702168,-0.38458418584021625,-0.3130846917629242
