target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_60d,grievance_redressal_days,1,178,5.24,5.994,6.656,-0.44701501735475624,-0.4567601680755615
delay_next_60d,grievance_redressal_days,2,171,6.729,7.438,8.414,-0.0869192891149667,-0.108578160405159
delay_next_60d,grievance_redressal_days,3,172,8.614,11.071,12.076,-0.0820871735110792,-0.09281951934099195
delay_next_60d,grievance_redressal_days,4,178,12.211,14.013,15.122,-0.2288149155550793,-0.2372464388608932
delay_next_60d,grievance_redressal_days,5,168,15.206,16.029,16.908,-0.2977329658433085,-0.30121850967407227
delay_next_60d,grievance_redressal_days,6,181,16.938,18.023,18.967,-0.30281430980941865,-0.2966603338718414
delay_next_60d,grievance_redressal_days,7,174,19.174,20.166,21.283,-0.21306838442560758,-0.23435325920581815
delay_next_60d,grievance_redressal_days,8,175,21.359,22.267,23.272,-0.08595493829409988,-0.0888383910059928
delay_next_60d,grievance_redressal_days,9,162,23.398,24.524,26.917,-0.2826864853857752,-0.3235267847776413
delay_next_60d,grievance_redressal_days,10,173,27.054,47.324,58.805,0.42292508224531405,0.41929891705513
