target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_60d,days_since_project_start,1,300,0.0,15.0,30.0,-0.8233259142935276,-0.79725581407547
delay_next_60d,days_since_project_start,2,150,60.0,60.0,60.0,-0.3414173443615436,-0.34526413679122925
delay_next_60d,days_since_project_start,3,150,90.0,90.0,90.0,0.20757930710911746,0.20017741620540613
delay_next_60d,days_since_project_start,4,150,120.0,120.0,120.0,0.2632637460033098,0.2588302791118622
delay_next_60d,days_since_project_start,5,150,150.0,150.0,150.0,0.23210698572297886,0.2322325631976127
delay_next_60d,days_since_project_start,6,150,180.0,180.0,180.0,-0.005854759483287732,0.00110816460801285
delay_next_60d,days_since_project_start,7,283,210.0,210.0,240.0,-0.053189930920291645,-0.0514843836426734
delay_next_60d,days_since_project_start,8,115,270.0,270.0,270.0,-0.08205384043445199,-0.0732914879918098
delay_next_60d,days_since_project_start,9,168,300.0,300.0,330.0,-0.2978955999438074,-0.1767272129654884
delay_next_60d,days_since_project_start,10,116,360.0,390.0,420.0,-0.9488685799056086,-0.9344507455825806
