target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_90d,grievance_redressal_days,1,178,5.24,5.994,6.656,-0.5866366429777627,-0.6101581752300262
delay_next_90d,grievance_redressal_days,2,171,6.729,7.438,8.414,-0.033359693744552055,-0.0470886528491973
delay_next_90d,grievance_redressal_days,3,172,8.614,11.071,12.076,-0.03808958290908268,-0.04111605323851105
delay_next_90d,grievance_redressal_days,4,178,12.211,14.013,15.122,-0.16718059116869827,-0.16359869390726084
delay_next_90d,grievance_redressal_days,5,168,15.206,16.029,16.908,-0.33572143342878136,-0.3291755765676498
delay_next_90d,grievance_redressal_days,6,181,16.938,18.023,18.967,-0.3316502075498275,-0.3360805213451385
delay_next_90d,grievance_redressal_days,7,174,19.174,20.166,21.283,-0.1347961385183079,-0.18942219018936154
delay_next_90d,grievance_redressal_days,8,175,21.359,22.267,23.272,-0.014935752522932094,-0.0168953463435173
delay_next_90d,grievance_redressal_days,9,162,23.398,24.524,26.917,-0.2935292108029696,-0.3535265326499939
delay_next_90d,grievance_redressal_days,10,173,27.054,47.324,58.805,0.42255234257506497,0.4300867021083832
