target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_90d,days_in_current_stage,1,300,0.0,15.0,30.0,-1.0439387243489424,-0.9225429892539978
delay_next_90d,days_in_current_stage,2,73,32.0,42.0,42.0,0.3038880392296673,0.3038281798362732
delay_next_90d,days_in_current_stage,3,202,53.0,60.0,60.0,0.27049825746234096,0.25573448836803436
delay_next_90d,days_in_current_stage,4,141,62.0,72.0,74.0,0.2657168432541772,0.2649507820606231
delay_next_90d,days_in_current_stage,5,206,83.0,90.0,90.0,0.24158173134026015,0.23701747506856916
delay_next_90d,days_in_current_stage,6,122,92.0,95.0,102.0,0.08592987158259406,0.12368188425898549
delay_next_90d,days_in_current_stage,7,207,104.0,114.0,120.0,0.1494815807951533,0.14805369079113
delay_next_90d,days_in_current_stage,8,134,123.0,132.0,137.0,-0.13559164538538193,-0.153063915669918
delay_next_90d,days_in_current_stage,9,176,143.0,150.0,165.0,-0.22188389010261741,-0.2239072397351265
delay_next_90d,days_in_current_stage,10,171,167.0,185.0,264.0,-0.668288161771165,-0.8117335438728333
