target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_90d,file_pending_days,1,177,0.0,7.0,10.0,-0.3397461313143961,-0.3365745842456817
delay_next_90d,file_pending_days,2,190,11.0,14.0,17.0,-0.3147261002150021,-0.3127574771642685
delay_next_90d,file_pending_days,3,154,18.0,20.0,22.0,-0.23092826371165834,-0.23582231998443598
delay_next_90d,file_pending_days,4,183,23.0,26.0,28.0,-0.1568849566481661,-0.1508806496858596
delay_next_90d,file_pending_days,5,165,29.0,32.0,34.0,-0.09313298101893228,-0.0846672132611274
delay_next_90d,file_pending_days,6,180,35.0,37.0,40.0,-0.06412638451664758,-0.0566964000463485
delay_next_90d,file_pending_days,7,163,41.0,44.0,48.0,-0.056264855568507875,-0.0363884419202804
delay_next_90d,file_pending_days,8,173,49.0,54.0,65.0,0.05822820514479229,0.0527127720415592
delay_next_90d,file_pending_days,9,173,66.0,86.0,106.0,0.16275598583581474,0.1801415085792541
delay_next_90d,file_pending_days,10,174,107.0,131.0,196.0,-0.05269519729411293,-0.0308413095772266
