target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_60d,days_in_current_stage,1,300,0.0,15.0,30.0,-2.1621843862533567,-2.193759858608246
delay_next_60d,days_in_current_stage,2,73,32.0,42.0,42.0,0.41154356729494385,0.4088122248649597
delay_next_60d,days_in_current_stage,3,202,53.0,60.0,60.0,0.3583460646395636,0.34527093172073364
delay_next_60d,days_in_current_stage,4,141,62.0,72.0,74.0,0.32316611876301726,0.3165057301521301
delay_next_60d,days_in_current_stage,5,206,83.0,90.0,90.0,0.27852556897887903,0.27410227060317993
delay_next_60d,days_in_current_stage,6,122,92.0,95.0,102.0,0.04519611728362373,0.1026360057294368
delay_next_60d,days_in_current_stage,7,207,104.0,114.0,120.0,0.09382856496866195,0.0961541905999183
delay_next_60d,days_in_current_stage,8,134,123.0,132.0,137.0,-0.23529565213560888,-0.24182339012622828
delay_next_60d,days_in_current_stage,9,176,143.0,150.0,165.0,-0.23305872784906317,-0.23683012276887888
delay_next_60d,days_in_current_stage,10,171,167.0,185.0,264.0,-0.6392917665734625,-0.749784529209137
