target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_90d,docs_complete_pct,1,174,38.687,48.957,55.921,0.2497907414123812,0.2885220497846603
delay_next_90d,docs_complete_pct,2,173,55.991,61.649,67.832,0.14642061296893505,0.1393184065818786
delay_next_90d,docs_complete_pct,3,173,67.834,74.015,80.004,0.19080266016777708,0.1895790249109268
delay_next_90d,docs_complete_pct,4,173,80.03,82.893,84.584,0.00990014985160675,0.0105947209522128
delay_next_90d,docs_complete_pct,5,173,84.585,86.657,88.87,-0.11348115303149885,-0.116733506321907
delay_next_90d,docs_complete_pct,6,173,88.911,90.429,91.672,-0.1259826248312487,-0.1323461979627609
delay_next_90d,docs_complete_pct,7,173,91.699,93.092,94.6,-0.274346624947869,-0.275708943605423
delay_next_90d,docs_complete_pct,8,173,94.629,95.982,97.354,-0.2818994560854972,-0.2785166501998901
delay_next_90d,docs_complete_pct,9,173,97.385,98.772,99.907,-0.23595628814335715,-0.2279559969902038
delay_next_90d,docs_complete_pct,10,174,99.938,100.0,100.0,-0.2612114814163624,-0.2381825670599937
