target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,file_pending_days,1,177,0.0,7.0,10.0,-0.3965885819877777,-0.3936428725719452
delay_next_30d,file_pending_days,2,190,11.0,14.0,17.0,-0.3366087674065248,-0.38447338342666626
delay_next_30d,file_pending_days,3,154,18.0,20.0,22.0,-0.30589313307919164,-0.2546242699027061
delay_next_30d,file_pending_days,4,183,23.0,26.0,28.0,-0.06497598066735155,-0.0548327714204788
delay_next_30d,file_pending_days,5,165,29.0,32.0,34.0,-0.12730027440737815,-0.1148697808384895
delay_next_30d,file_pending_days,6,180,35.0,37.0,40.0,-0.04474180790776799,-0.0356706045567989
delay_next_30d,file_pending_days,7,163,41.0,44.0,48.0,-0.06475009759166703,-0.0618397966027259
delay_next_30d,file_pending_days,8,173,49.0,54.0,65.0,0.010692097028620496,0.0136445993557572
delay_next_30d,file_pending_days,9,173,66.0,86.0,106.0,0.13320318366686215,0.150194376707077
delay_next_30d,file_pending_days,10,174,107.0,131.0,196.0,-0.2427976906711728,-0.24296651035547256
