target,feature,decile,n,value_min,value_median,value_max,mean_shap,median_shap
delay_next_30d,land_acquisition_ratio,1,181,0.6061559850927839,0.615552089426139,0.6290801099170888,-0.3026192893392473,-0.2832522094249725
delay_next_30d,land_acquisition_ratio,2,173,0.6301889961193117,0.639653110047847,0.6775257353503527,-0.17505358882259164,-0.1273993849754333
delay_next_30d,land_acquisition_ratio,3,172,0.6818028631295149,0.6948158613287276,0.7083518816559942,-0.030269592978753316,-0.01775612309575075
delay_next_30d,land_acquisition_ratio,4,173,0.7132172046034008,0.7400956128654591,0.7585374555004819,-0.04695778396761182,-0.0439346879720687
delay_next_30d,land_acquisition_ratio,5,173,0.761610739457919,0.7832180890723722,0.8013627987046966,0.04443366008519994,0.0469086095690727
delay_next_30d,land_acquisition_ratio,6,172,0.8043951670848855,0.8297684966455637,0.8514048185393654,0.04822812992592101,0.0502540450543165
delay_next_30d,land_acquisition_ratio,7,174,0.851509319359685,0.862062070068789,0.8744638511680021,0.043217993674574975,0.04661480896174905
delay_next_30d,land_acquisition_ratio,8,181,0.8774669032346117,0.8949765834076716,0.9157469191808982,-0.09554683303946718,-0.0808143839240074
delay_next_30d,land_acquisition_ratio,9,166,0.9188535273522868,0.9429127121737544,0.966268481802652,-0.2855268755285294,-0.24257778376340866
delay_next_30d,land_acquisition_ratio,10,167,0.966866198326532,0.9872177877359224,0.9981435848702168,-0.48093134396804305,-0.4388335943222046
